트림 명칭,트림코드,라인업코드,사용여부,소비자가
프레스티지 (7인승) (A/T),1050303,10503,Y,42900000
익스클루시브 (8인승) (A/T),1050402,10504,Y,39520000
익스클루시브 (7인승) (A/T),1050401,10504,Y,39810000
프레스티지 (8인승) (A/T),1050404,10504,Y,44920000
프레스티지 (7인승) (A/T),1050403,10504,Y,45210000
캘리그래피 (7인승) (A/T),1050405,10504,Y,50030000
프레스티지 (A/T),2070802,20708,Y,28270000
프레스티지 그래비티 (A/T),2070803,20708,Y,28610000
시그니처 (A/T),2070804,20708,Y,31560000
시그니처 그래비티 (A/T),2070805,20708,Y,31900000
트렌디 (A/T),2070901,20709,Y,24640000
프레스티지 (A/T),2070902,20709,Y,26700000
프레스티지 그래비티 (A/T),2070903,20709,Y,27040000
시그니처 (A/T),2070904,20709,Y,29990000
시그니처 그래비티 (A/T),2070905,20709,Y,30330000
트렌디 (A/T),2071001,20710,Y,26700000
프레스티지 (A/T),2071002,20710,Y,28760000
프레스티지 그래비티 (A/T),2071003,20710,Y,29100000
시그니처 (A/T),2071004,20710,Y,32050000
시그니처 그래비티 (A/T),2071005,20710,Y,32390000
프레스티지 (A/T),2070601,20706,Y,23760000
프레스티지 그래비티 (A/T),2070602,20706,Y,24100000
시그니처 (A/T),2070603,20706,Y,27050000
시그니처 그래비티 (A/T),2070604,20706,Y,27390000
스마트 (A/T),1040101,10401,Y,23860000
프리미엄 (A/T),1040102,10401,Y,26310000
프리미엄 패밀리 (A/T),1040103,10401,Y,28760000
프리미엄 밀레니얼 (A/T),1040104,10401,Y,30530000
인스퍼레이션 (A/T),1040105,10401,Y,32980000
프리미엄 (A/T),1040501,10405,Y,26410000
프리미엄 패밀리 (A/T),1040502,10405,Y,29160000
프리미엄 밀레니얼 (A/T),1040503,10405,Y,30920000
인스퍼레이션 (A/T),1040504,10405,Y,33130000
프리미엄 (5인승) (A/T),1020307,10203,Y,31220000
프레스티지 (A/T),2040901,20409,Y,32440000
노블레스 (A/T),2040902,20409,Y,33870000
X 에디션 (A/T),2040903,20409,Y,35240000
노블레스 (A/T),2041001,20410,Y,36130000
시그니처 (A/T),2041002,20410,Y,38190000
프레스티지 (A/T),2040801,20408,Y,36390000
노블레스 (A/T),2040802,20408,Y,38160000
시그니처 (A/T),2040803,20408,Y,40320000
프레스티지 (A/T),2040701,20407,Y,31370000
노블레스 (A/T),2040702,20407,Y,36070000
프레스티지 리무진 AWD (A/T),6020202,60202,Y,156090000
스마트 (A/T),1040401,10404,Y,24890000
프리미엄 (A/T),1010101,10101,Y,32940000
프리미엄 초이스 (A/T),1010102,10101,Y,33680000
익스클루시브 (A/T),1010103,10101,Y,36810000
캘리그래피 (A/T),1010104,10101,Y,41080000
프리미엄 (A/T),1010201,10102,Y,35780000
프리미엄 초이스 (A/T),1010202,10102,Y,36520000
익스클루시브 (A/T),1010203,10102,Y,39220000
캘리그래피 (A/T),1010204,10102,Y,43490000
프리미엄 (A/T),1010401,10104,Y,33280000
프리미엄 초이스 (A/T),1010402,10104,Y,34020000
프리미엄 (A/T),1010301,10103,Y,36690000
익스클루시브 (A/T),1010302,10103,Y,40120000
캘리그래피 (A/T),1010303,10103,Y,44890000
트렌디 (A/T),2080901,20809,Y,24350000
프레스티지 (A/T),2080902,20809,Y,27240000
노블레스 (A/T),2080903,20809,Y,29210000
시그니처 (A/T),2080904,20809,Y,31510000
트렌디 (A/T),2080701,20807,Y,23560000
프레스티지 (A/T),2080702,20807,Y,26060000
